Equation,Answer
0 / -7,0
8 + 1,9
-7 / -7,1
-5 * 0,0
-6 + -2,-8
7 - -1,8
-3 * -3,9
-4 + -8,-12
-1 + -5,-6
0 * -4,0
1 / -2,-0.500000
2 - -8,10
9 * -6,-54
9 * -1,-9
4 + 2,6
0 * -1,0
6 - -2,8
-4 - 0,-4
8 - -5,13
0 * -4,0
1 * 0,0
6 * 0,0
-6 / 6,-1
6 / 4,1.500000
2 + -9,-7
7 / 2,3.500000
-7 * 1,-7
-3 - 4,-7
5 / 0,inf
9 / -6,-1.500000
-3 / 7,-0.428571
6 * 0,0
-5 / -7,0.714286
4 * 9,36
-9 * -1,9
4 - 2,2
0 * -2,0
7 + 2,9
-7 + 4,-3
-6 + -9,-15
0 / -3,0
-8 / -8,1
3 + -2,1
-6 - -3,-3
0 - -4,4
5 + 7,12
8 - -1,9
-2 / -1,2
1 - 9,-8
9 * 4,36
1 - 7,-6
-2 - -5,3
-2 - -9,7
-4 + 8,4
6 - 4,2
6 / 8,0.750000
4 + -3,1
5 / 5,1
-4 * 3,-12
3 + 5,8
-5 - 0,-5
-3 - -2,-1
2 * 7,14
-2 * -6,12
4 / -1,-4
-5 + 9,4
-9 * -2,18
0 - -7,7
-6 / -5,1.200000
0 - -2,2
6 + 2,8
-8 + 0,-8
2 + 5,7
9 / 8,1.125000
4 / 0,inf
-8 - -8,0
4 / 0,inf
7 / 8,0.875000
-8 / 3,-2.666667
-3 - 9,-12
4 - 6,-2
1 + 7,8
-4 * -9,36
7 - 3,4
-8 / 2,-4
-9 / 2,-4.500000
5 + 4,9
9 / -2,-4.500000
8 + 7,15
0 + -6,-6
8 / 6,1.333333
0 / 9,0
-5 / 4,-1.250000
3 / 8,0.375000
2 + -8,-6
6 / -2,-3
-2 - 7,-9
3 + -2,1
-3 * -7,21
9 - -2,11
0 * -6,0
3 / -9,-0.333333
-2 / -1,2
3 * -6,-18
2 - 2,0
-3 + -1,-4
8 / 0,inf
-2 + 0,-2
-9 - 1,-10
-4 / 2,-2
4 - -9,13
-3 - 1,-4
-4 / -4,1
-8 / -3,2.666667
5 + -3,2
0 + 4,4
1 / -4,-0.250000
1 / 2,0.500000
9 * 1,9
-9 - 9,-18
9 - 7,2
1 + -1,0
4 / -4,-1
4 - 9,-5
-3 + 9,6
0 + -5,-5
8 - 5,3
5 * -5,-25
-2 - 4,-6
-2 - -5,3
0 / -7,0
4 + 4,8
-5 * 2,-10
-8 - -8,0
3 / -7,-0.428571
-4 - 9,-13
-4 * 9,-36
-2 * 6,-12
-9 / -8,1.125000
0 * -8,0
7 + -8,-1
0 * -7,0
0 + -4,-4
0 + -2,-2
-6 * -3,18
-4 / 4,-1
-7 * 8,-56
5 * 0,0
-4 + 0,-4
-2 / -1,2
-1 - 5,-6
1 + 1,2
4 / 0,inf
2 / -4,-0.500000
5 - -2,7
4 - 0,4
3 / -6,-0.500000
-9 + 6,-3
-8 * 2,-16
0 + 0,0
9 * -1,-9
-4 / -6,0.666667
-9 - -5,-4
2 / -1,-2
2 + 0,2
6 + -4,2
-3 - 7,-10
-8 / -8,1
-3 / 3,-1
-4 / 6,-0.666667
-1 * -7,7
0 / -9,0
-1 + 2,1
-8 * 1,-8
-5 / 7,-0.714286
1 / 3,0.333333
0 * 1,0
-6 + -7,-13
-7 * -1,7
-6 * -2,12
2 + 0,2
-6 / -6,1
7 - 6,1
6 - -7,13
-5 / 9,-0.555556
9 - -2,11
-4 * 3,-12
7 / -9,-0.777778
-7 - -3,-4
9 - -1,10
-6 / 1,-6
9 + 0,9
4 + 6,10
-4 / -1,4
-3 + 7,4
9 + -2,7
8 * 4,32
5 - -5,10
-8 - -4,-4
-6 * 2,-12
1 - 6,-5
0 - 8,-8
4 + 9,13
9 + 3,12
-4 / -5,0.800000
9 / -9,-1
-9 - -6,-3
9 + 7,16
5 / 2,2.500000
-7 + -9,-16
8 + 3,11
2 + 0,2
0 + 2,2
9 - 9,0
9 - 5,4
9 / -3,-3
-7 + -9,-16
-7 / 4,-1.750000
-3 + -1,-4
-6 - 9,-15
-2 / 9,-0.222222
8 / 2,4
-5 / 0,-inf
9 / -3,-3
0 / 8,0
-7 * -2,14
4 - 5,-1
-9 * -8,72
-1 - 9,-10
8 * -4,-32
-6 - 8,-14
0 - -7,7
-1 - 5,-6
-8 / 3,-2.666667
3 / -3,-1
-6 * 9,-54
-4 * -5,20
-6 * 6,-36
8 * 1,8
-6 * 8,-48
-9 / 2,-4.500000
-3 + -9,-12
2 * 9,18
6 + 2,8
-9 * 1,-9
-3 - 0,-3
-6 * -5,30
0 / -1,0
5 * 0,0
-7 + 0,-7
0 + 4,4
-9 / 7,-1.285714
-4 / 5,-0.800000
-8 + 5,-3
0 - -9,9
-4 - -5,1
9 * 7,63
-6 - -4,-2
-5 + 1,-4
-6 - 8,-14
-6 / -3,2
5 + 0,5
-7 + -6,-13
-9 + 5,-4
-7 - -4,-3
3 / -4,-0.750000
-6 + -8,-14
0 * 3,0
0 / 3,0
1 / -9,-0.111111
-3 / 5,-0.600000
6 - 0,6
-2 / 6,-0.333333
-5 * -7,35
4 / -6,-0.666667
0 - 7,-7
-3 + 4,1
-8 - 5,-13
6 * -3,-18
-8 * -2,16
-4 / -8,0.500000
0 + -1,-1
9 * 7,63
1 + 0,1
-3 / 9,-0.333333
5 - -1,6
-9 / -8,1.125000
2 + 8,10
5 + 3,8
0 * 0,0
1 + -7,-6
-3 * 6,-18
0 - -8,8
3 - -3,6
-8 * 8,-64
-2 * 6,-12
-2 * 4,-8
7 * 4,28
-6 * 7,-42
-8 * -3,24
0 - -3,3
7 * -9,-63
0 * 5,0
-6 + -1,-7
0 * -4,0
-8 + 4,-4
-9 - -1,-8
1 + 8,9
-6 - -1,-5
4 / 8,0.500000
3 * -3,-9
6 / 5,1.200000
3 - 1,2
-1 + 1,0
-4 - -1,-3
3 - 1,2
-9 + -2,-11
-4 - -2,-2
0 / -4,0
8 * -6,-48
2 / 5,0.400000
-6 - -1,-5
7 - -7,14
5 + 9,14
-1 / -3,0.333333
-8 / 0,-inf
7 / -6,-1.166667
-1 * -9,9
-5 * 1,-5
-8 * -3,24
-2 + 0,-2
-1 * -8,8
-1 / 7,-0.142857
-3 + 9,6
2 / 2,1
9 / -8,-1.125000
9 + 7,16
-2 + 8,6
-7 * 9,-63
-3 * 4,-12
3 + 1,4
-2 + 0,-2
-3 * -5,15
-9 + -9,-18
-4 - 0,-4
-6 / 0,-inf
-4 + 7,3
8 - -3,11
5 * 3,15
0 / 6,0
7 + 5,12
-6 / -6,1
9 + -1,8
6 - 8,-2
-7 - -3,-4
3 + 9,12
2 - 3,-1
-9 - -8,-1
-3 * -6,18
-5 / -4,1.250000
0 * 9,0
4 / 9,0.444444
7 * -5,-35
9 / -5,-1.800000
-6 / 9,-0.666667
-4 + 1,-3
8 / 4,2
-5 * -9,45
0 / 0,nan
8 - -2,10
-8 / -8,1
1 * -3,-3
-1 - 3,-4
1 * -5,-5
-4 - 3,-7
-7 + -5,-12
-8 * 6,-48
2 * 8,16
-4 + -8,-12
9 / -2,-4.500000
0 * 2,0
-9 * -5,45
3 - 5,-2
-3 - 0,-3
-7 + 5,-2
7 - 4,3
-1 - -1,0
-3 * 9,-27
7 - 0,7
9 - 7,2
-4 * 7,-28
6 + 9,15
-8 * -5,40
5 + -4,1
-5 - -6,1
-8 * -9,72
-6 / 2,-3
-8 * -3,24
0 / 6,0
-8 + -5,-13
0 - -8,8
-2 + 9,7
1 + 6,7
3 * -9,-27
5 - 6,-1
-3 * -6,18
-7 / 0,-inf
-6 - -5,-1
7 + 7,14
7 * -6,-42
-4 * -9,36
-4 - 3,-7
1 * -8,-8
1 - -1,2
-5 - -2,-3
-7 * -4,28
5 / 2,2.500000
1 / -9,-0.111111
-6 + 2,-4
0 - 4,-4
8 * 7,56
-8 * 1,-8
-7 - 0,-7
3 + 2,5
-1 - 5,-6
-8 + 2,-6
0 / -5,0
1 / -2,-0.500000
6 + -2,4
-5 * -3,15
-4 / -3,1.333333
8 * 4,32
6 + -1,5
1 * 0,0
3 - 5,-2
6 - 6,0
-4 - 6,-10
8 / 3,2.666667
-2 - 5,-7
-4 + -1,-5
0 - 4,-4
5 + -9,-4
4 - 0,4
6 / 2,3
9 + 1,10
-8 / 9,-0.888889
0 - 1,-1
5 * 5,25
-7 + -8,-15
1 * 9,9
-2 * -2,4
7 - -6,13
-9 / -5,1.800000
3 - 1,2
-1 + -3,-4
9 + -6,3
0 - 7,-7
3 / -9,-0.333333
-3 * 3,-9
-4 - 1,-5
-3 / 4,-0.750000
-8 - 3,-11
-6 * 0,0
-2 / 3,-0.666667
-5 * -6,30
-1 - 6,-7
9 * 0,0
-7 / -8,0.875000
-2 + -1,-3
2 + -9,-7
-9 + -3,-12
-5 - 9,-14
-1 / 1,-1
-7 * -7,49
1 * 5,5
-8 + -4,-12
-1 - 7,-8
-2 / 0,-inf
-4 / 6,-0.666667
-3 + 0,-3
7 + -5,2
-6 + 5,-1
-7 * -8,56
-2 * -9,18
-8 * 0,0
9 * 0,0
-5 + -3,-8
-5 / -6,0.833333
9 - -1,10
-1 * 6,-6
5 + 0,5
-3 * 0,0
-4 - -9,5
2 * -1,-2
0 - 1,-1
8 + -8,0
6 + 6,12
-3 - 5,-8
-9 - 6,-15
8 * 2,16
2 - -1,3
3 * -5,-15
6 - 0,6
7 * 4,28
2 * 0,0
-7 * 3,-21
-9 / 7,-1.285714
8 * -4,-32
9 * -7,-63
-4 / -5,0.800000
-8 + 9,1
-2 + 1,-1
-8 / 5,-1.600000
-9 / -9,1
8 / -4,-2
-9 + -8,-17
4 * 1,4
2 * 9,18
-8 * 3,-24
-9 + 0,-9
9 / -2,-4.500000
-5 - 0,-5
9 * 2,18
4 * -7,-28
-4 - -9,5
-8 / 4,-2
1 * 7,7
-2 - -3,1
0 - 0,0
-9 + 0,-9
-8 / 0,-inf
1 * 5,5
4 / -8,-0.500000
-4 + -2,-6
0 / 2,0
6 * 2,12
1 + 4,5
9 + 4,13
5 - 0,5
3 - 1,2
6 * -7,-42
-1 + 7,6
2 / 8,0.250000
5 / -1,-5
-1 - 2,-3
3 / 1,3
7 + 9,16
-4 - -8,4
-7 - 7,-14
8 - 4,4
-4 + -2,-6
8 - -2,10
-7 / -5,1.400000
-3 + 6,3
7 * 9,63
-3 + -1,-4
2 * -6,-12
6 / -8,-0.750000
0 - 2,-2
