Equation,Answer
89 % -71 - -7 - -3 & 62,-0.346774
-69 / 78 / -55 % -3 + -71,-73.983916
-25 @ 92 # -35 & 56 / -82,-10751.517857
99 & 19 % 71 $ -58 # -98,0.000033
68 + -35 * 34 $ -27 # -48,-1125
78 + 30 * 87 @ -64 @ -84,5688
99 # 59 $ 38 & 88 * 28,0.007711
-14 $ 4 / 73 + -54 / 38,-1.421053
-59 $ -44 @ -40 # 31 $ 25,0
-81 * 3 * -29 @ 82 @ 85,10692
-8 @ 37 + 55 % -76 + 96,-102
-77 - -3 & 23 / 89 $ 76,-0.001650
34 % -67 / -89 @ -6 $ 64,-14720
13 # 42 - -98 % -66 * 22,1389
8 $ -24 * 0 @ 72 @ 40,1843200
-96 $ 87 + -11 & 58 # -22,0.004283
-80 $ 28 % 2 * -56 % 69,0
-37 % 53 + -57 % -43 @ -39,197
-8 % -16 # -22 & -7 # 52,-0.237209
69 * -91 $ 16 @ 91 - -3,-468
-21 $ -29 / -84 / 15 @ 68,-0.000973
-25 / -54 & 48 @ 98 $ 47,-inf
-83 $ -46 % 40 $ 82 & -20,inf
21 / -37 - -91 % 50 * 21,-189.567568
96 % 40 # -88 / 58 & 89,-0.160403
-77 & 39 # -53 # -89 $ -95,-inf
-79 % 71 / -24 / 12 % 34,33.781250
-12 % -23 * 64 # 63 $ -98,-98
-67 % -82 # 79 - -24 # -82,-6821
-11 $ -36 & -83 & 66 @ 17,-0.002872
34 @ 18 * -1 % -66 & -81,0.049383
44 * -8 $ -73 & 29 $ -67,-0.272388
47 + -92 $ 95 % 8 @ -75,-190
40 % -52 * 33 % -66 + -56,-56
-69 * 27 * -86 * -69 / 19,-581844.315789
-87 * 13 & -62 @ -82 / 31,-37.140890
-21 + -74 % -8 @ -55 $ -61,0
-12 / -29 $ -54 @ -20 / -51,21.137255
-21 % -7 + 82 % -55 + 47,19
74 @ -83 / -25 + -7 $ 62,-186
61 $ -54 % -36 + 60 - 52,8
14 / 43 / 24 @ -68 + -88,-87.998970
24 * 56 + 71 $ -64 * -23,2944
-81 % 89 % 64 % 77 $ 12,24
10 & 4 $ 15 - -36 $ -84,inf
-87 * -37 / -44 $ 68 + 4,4
-24 % -15 - -98 & -14 + 43,1.534483
73 / -5 $ 32 * -55 * -7,-10385760
39 * -17 % 44 $ 33 # -83,212760
-16 # 89 * -97 & 83 + 32,494.700000
-91 / -21 # 2 * 14 $ 73,73
63 - 43 & 48 / 68 $ 72,0.001362
-20 & 75 + 66 % 94 & -95,0.000373
41 - 0 + -36 $ -49 / -53,0.924528
10 * 80 % -86 & -30 @ -73,-0.075949
92 + -52 $ -12 # 1 * -98,107016
69 - -93 * -68 # -86 - 79,537788
-65 & -73 & 61 / 57 @ -88,1.397653
97 / 3 @ -4 @ -30 $ 44,2684
81 * -73 @ -89 @ 86 + 68,-76720
4 % 1 % -14 % 92 @ 6,0
88 + -14 - -16 % 4 + -59,15
76 / 57 & 15 & -95 * 42,-0.000006
74 $ -67 @ 61 & 55 # 59,0.102675
67 + -25 / -63 & -74 * -57,0.007989
-80 # -3 - 91 / -88 - -68,220.034091
-65 & -6 $ 10 # -40 @ -73,0.000007
-25 % -11 % 55 @ 75 % 45,42
59 % 84 @ 96 @ 49 * -90,-5310
-9 + 31 % -74 + -79 # -67,4961
-34 % 95 % 61 + -39 + -1,-40
-83 @ -50 @ 78 * -14 * 20,202440
-66 - -20 + 83 / 79 @ -3,-47.296875
97 $ -69 & -86 # 69 - 38,0
81 + -72 / -58 $ -74 - -32,32
19 @ 8 @ 41 * -27 * 41,161622
64 - 0 + -52 # 65 & -29,54.706897
-52 + -80 $ 24 @ -27 # -60,-343179
-82 # -30 # 41 / -92 + 94,-951.858696
14 + -65 $ -3 $ 7 * 3,-147
95 & -67 / -70 $ 53 & 28,0.000286
99 * -62 % -32 / -80 $ -60,11040
54 * 92 % 64 * 18 & 19,18.947368
-76 & -53 + 93 & 40 @ 10,0.005278
0 - 43 - -84 * 60 @ 12,-10123
66 % 50 # 86 / -70 & -2,5.892857
1 # -69 @ -98 & -82 # 24,-0.565470
93 @ -21 % -77 & -77 / 90,37.987013
-78 @ -73 & 73 + -62 @ 65,-1.165789
-89 % -5 * -46 - -47 $ 74,74
-8 & 47 $ 33 & 84 + -73,-0.005510
20 % 15 % 42 * 62 * -32,-9920
-75 $ -22 # -71 & 77 - 1,-148.414474
-88 $ 21 $ -95 - 30 % -85,-inf
64 & -20 / 70 @ -34 + -62,-0.514469
-7 * -84 * 25 / 53 # 49,14014.924528
-47 - -15 % 21 + 6 @ 84,-479
-47 - -72 @ -87 / -74 # -47,-221.162162
26 / -74 & -48 & 48 # 28,0.000001
-54 $ -62 / 75 # -25 + 34,-76.320000
50 $ 3 * 2 + -5 & -51,-0.009804
69 # -93 - 71 # -10 % 81,-6687
-34 * -52 $ 39 % 89 $ -44,44
60 & 58 % 55 $ -54 + 91,0.028222
82 # 19 + 64 / 61 - -44,1742.049180
-62 @ -80 $ -79 & 26 & 55,0
67 & -68 % -21 $ -67 & -99,0.000180
-81 & -49 / -96 * -52 @ -29,-0.402776
59 & 29 $ 96 * -39 - -27,0.000061
-61 - 13 & -89 & 98 # -66,-0.000032
-75 % 14 * 39 + -62 @ -69,758
-83 $ 23 # 89 $ -63 $ 94,-94
82 # 42 + -75 + 10 & 79,22.702532
86 / 83 % 71 * 18 / -23,-0.810896
-85 $ -37 % 18 @ 76 # 38,-21264
-53 - 1 $ -12 $ 18 # 96,-343746
27 & -26 - 92 % 57 + 75,0.964286
2 * 82 * 46 / -3 * -89,223805.333333
94 # -58 / 48 / 59 $ -7,-28
-96 @ 77 - 52 $ -6 / 74,-0.081081
30 % -2 # 9 @ 17 # 33,-9489
73 # -87 - -96 $ 29 / -80,-0.362500
88 / 66 # 51 # 18 * -89,-380771.666667
