Equation,Answer
4 * -27 / 33,-3.272727
4 - -30 - -37,71
-46 - 24 * 1,-70
-38 * 34 * 32,-41344
-35 * -1 / -35,-1
-11 & 16 - 40,0.229167
21 + -2 & 12,0.791667
9 - -11 - 37,-17
-25 * 33 - 45,-870
-26 - 38 / 33,-27.151515
-31 & 40 / 32,-12.400000
-23 + -25 / -37,-22.324324
22 & 22 * 0,inf
-9 / -16 * -10,-5.625000
34 + 31 * -7,-183
35 / -7 * 10,-50
-15 / -25 + -3,-2.400000
48 * 4 * -29,-5568
18 / 30 / 35,0.017143
12 - -26 % -23,15
-42 / 21 + 45,43
1 % 21 + -18,-17
20 - 3 % -2,21
-11 - 33 & -39,0.564103
-40 / 49 - -11,10.183673
-23 % 8 / -18,-0.055556
2 + 32 - -1,35
-31 / -15 - -9,11.066667
-13 * 1 * 40,-520
-36 * -29 - 0,1044
16 & -27 & -37,0.004004
-46 + 0 % 19,-46
-47 % -1 - -44,44
4 & -17 / 19,-2.235294
9 % -15 - 17,-23
35 % -34 - 33,-66
0 + 5 & 3,0.833333
-31 * -6 + -26,160
11 & -14 / 45,-17.678571
7 - 12 * 15,-173
20 - 6 & -8,-0.875000
24 + -20 & -3,-0.666667
1 % -14 / 10,-1.300000
-14 - 33 + 30,-17
32 % -42 & 46,-0.108696
-31 & 45 * 18,-0.019136
-27 + 2 + -28,-53
-15 + 7 + -14,-22
41 & 25 & -44,-0.009318
32 / 29 & 8,0.068966
8 / 30 & -25,-0.005333
29 / -39 % 14,13.256410
2 / -18 + -18,-18.111111
4 * -41 % 3,1
-43 + 14 * -9,-169
-32 - -4 % 21,-49
47 & -24 / -35,34.270833
-11 - -18 + 39,46
-23 - 0 - -2,-21
-30 - 20 / 45,-30.444444
-41 / -28 % 27,1.464286
-15 + 17 * 35,580
-21 % -44 % -4,-1
-6 * 40 % -6,0
30 & 38 % 31,2.142857
31 * -18 + 18,-540
-19 & -38 & 48,0.002604
24 * 8 / 7,27.428571
-16 / 18 - -38,37.111111
15 % 22 + 10,25
-3 * 34 / 21,-4.857143
-17 + -29 / 44,-17.659091
-10 - -10 - 19,-19
43 * 22 - 2,944
36 / -24 - 39,-40.500000
38 % 33 * 30,150
28 * -49 - -29,-1343
35 + 25 - -11,71
-28 - -6 - 9,-31
-18 + 17 % -3,-19
-25 * -23 - -6,581
37 % -39 & 44,-0.022727
-43 / 25 & 22,-0.039091
-19 % 22 + 3,6
26 * -13 + -14,-352
32 * -30 / 40,-24
24 % 20 / 41,0.097561
-31 % -38 - 7,-38
26 & 25 * -47,-0.011064
-17 & -32 % -45,0.265625
37 / 1 & -43,-0.430233
25 & -34 & -4,0.045956
2 % -42 & 13,-1.538462
43 + 5 - 42,6
35 * -44 / 14,-110
11 & 48 - -31,0.069620
0 & 43 + -2,0
38 % 42 & -12,-1.583333
-8 & -35 & -12,-0.004762
40 % 46 - -20,60
20 + 38 & -21,-1.380952
27 / 49 - -43,43.551020
41 / 46 / -32,-0.027853
15 * 4 & 46,0.652174
-13 * -37 - -46,527
-8 - -48 + 38,78
8 * -38 + -8,-312
-25 - -40 & 42,0.178571
-36 + -46 * 24,-1140
-11 * -36 * 28,11088
0 & 9 / 15,0
45 / 14 & -5,-0.321429
-13 / 38 + -31,-31.342105
-29 + 7 + -31,-53
47 & 37 & -17,-0.018680
-11 & 10 * -5,0.110000
47 + 40 % 48,87
-40 - -28 & -44,0.136364
23 * 40 % -34,-32
-41 * 41 & -24,35.020833
4 - -11 - -4,19
-21 * 8 + 11,-157
5 * 33 % -36,-15
0 + 5 % -38,-33
-49 / -25 % 10,1.960000
37 * -47 * -38,66082
-22 + 21 % -28,-29
30 + 26 + 14,70
9 - 44 * -20,889
-48 + -31 % 19,-41
17 & -28 + -38,-0.128788
-40 % -45 + 47,7
49 & -2 / 44,-539
-16 - -32 & 5,1.600000
45 & 31 * -1,-0.725806
40 - 49 * 22,-1038
45 - -14 + 3,62
48 & 23 - 42,-1.263158
-21 + -41 + -34,-96
-9 - -20 + 16,27
-15 & -36 - -26,0.750000
48 % -10 * 23,-46
45 + 24 / -5,40.200000
-3 % -24 & 0,-inf
-34 * 23 * -4,3128
43 - -46 & 17,2.617647
10 - 37 % 41,-27
40 / 14 % -32,-29.142857
22 - -22 * 38,858
-9 / -4 & 2,0.562500
45 * -27 / -1,1215
-35 - -7 - -43,15
19 % 0 - 10,nan
-19 - -33 - -17,31
-42 % 16 * 38,228
21 + -12 & -11,-0.409091
7 / -16 + 10,9.562500
33 / -32 - -40,38.968750
27 + -7 % 5,30
25 & 2 - 29,-0.462963
-45 / 2 * -30,675
20 * 34 / -34,-20
-18 + -17 - -6,-29
-42 % 31 * -19,-380
-32 * 11 % -44,0
-49 * -39 + 32,1943
-35 / 37 - 2,-2.945946
-9 % 25 & 41,0.195122
-8 / 20 % -22,-0.400000
-6 / 1 / -15,0.400000
-20 / -26 & -4,-0.096154
19 * 20 * 43,16340
-42 / 1 - -35,-7
-37 * 32 + -35,-1219
45 % -45 % 33,0
-31 - 7 / 32,-31.218750
23 % 2 & 7,0.071429
40 / 32 + -25,-23.750000
6 % -31 / -46,0.543478
0 + 35 / 25,1.400000
28 & -16 * 19,-0.046053
24 % 17 % 24,7
28 & -29 - -28,-14
3 / -4 + -35,-35.750000
-6 % 32 & -47,-0.276596
44 % 8 & -19,-0.105263
-41 % -32 + -46,-55
33 % 31 % -27,-25
-25 % -6 & -35,0.014286
28 + 42 & 22,1.590909
31 + 34 / 28,32.214286
-9 * 35 * -15,4725
24 & -38 - -33,-2.400000
30 & -12 / 43,-53.750000
28 & -34 + 34,inf
-29 / -32 * 1,0.906250
24 + -27 - 12,-15
-15 * 36 - -3,-537
44 / 46 / 16,0.059783
1 + -32 % -11,-9
6 + 4 * -6,-18
32 / -39 & -21,0.019536
26 * 1 / -25,-1.040000
-41 * 6 & 0,-inf
-4 & -33 % 43,-0.200000
-38 & 17 * -8,0.139706
26 + 12 + 21,59
18 % 31 - -24,42
17 * 42 * 17,12138
19 & 46 + -23,0.413043
-49 % 3 - 35,-33
45 & -27 / -29,24.166667
-36 % 26 & 49,0.163265
-26 + 10 % -12,-28
34 + -11 & -27,-0.425926
-41 % 10 / -32,-0.281250
-9 + -43 & -19,1.368421
-6 / 47 / -8,0.015957
25 % 27 + -46,-21
-24 / 16 + 10,8.500000
23 + 46 - 41,28
13 % 18 + 45,58
32 / -47 * -49,33.361702
0 * 25 / -28,0
27 & 14 + 48,0.217742
-44 / 6 & 48,-0.076389
-27 * 38 & 46,-11.152174
26 + 12 & 0,inf
-4 / -11 & -19,-0.009569
